Sequences compared,Sat_test_Cassius_1,Sat_test_Cassius_2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(M._australis_II; M._goldiei_VI),2.73343,2.62666,15405.2,8.74141,4.2778,4.4636,-0.147788,6666
(M._australis_II; M._herbertaxelrodi_AS),2.73683,2.63074,15449.9,8.72896,3.05555,5.67341,-0.557723,6666
(M._australis_II; M._kamaka),2.71532,2.61514,15278,12.3549,7.34406,5.01086,-1.03281,6666
(M._australis_II; M._lacustrisAS),2.7114,2.6134,15257,14.7247,9.93849,4.78625,0.010406,6666
(M._australis_II; M._lakamora),2.71448,2.61299,15252.5,10.312,5.94519,4.36682,-0.959889,6666
(M._australis_II; M._monticola),2.70501,2.60888,15206.9,18.6577,12.4384,6.21928,0.463542,6666
(M._australis_II; M._mubiensis),2.72778,2.62785,15413,12.2223,7.25041,4.97186,0.318222,6666
(M._australis_II; M._oktediensis),2.71724,2.61616,15287.7,13.1706,7.98366,5.1869,-0.138231,6666
(M._australis_II; M._pierucciae),2.71488,2.61374,15261.1,11.0952,6.59854,4.49663,-0.961974,6666
(M._australis_II; M._trifasciata_IV),2.72386,2.62091,15339.8,14.6606,4.26889,10.3917,-1.29013,6666
(M._australis_II; M._trifasciata_III),2.73911,2.6354,15503.4,13.8477,5.84096,8.00676,-1.01624,6666
(M._australis_II; M._trifasciata_II),2.7325,2.62966,15419,9.2884,5.71919,3.56921,-0.744839,6658
(M._australis_II; M._goldiei_VII),2.73129,2.62983,15442.1,15.9387,8.27609,7.66258,-1.10009,6666
(M._australis_II; C._lorentzi_MT),2.09132,2.08221,10095.4,499.228,490.972,8.25647,-0.264634,6672
(M._australis_II; C._lorentzi_S7),0.263461,0.202869,2211.27,4252.26,4248.78,3.48058,1.12428,6653
(M._australis_II; M._sp_Pianfon_MT),2.09122,2.08333,10105.4,492.464,483.273,9.1909,0.971824,6672
(M._australis_II; M._sp._Pianfon_S7),0.259918,0.19797,2194.25,4259.94,4257.5,2.44538,1.29235,6653
(M._australis_II; G._maculosus_AS),2.59878,2.49031,13856.1,11.1552,4.1086,7.04663,-2.07636,6641
(M._australis_II; G._ramuensis),2.59935,2.48915,13842.8,9.66213,4.88479,4.77734,-1.85095,6641
(M._australis_II; M._affinis_II),2.61037,2.50378,14018.4,11.7594,2.12252,9.63688,-1.31272,6652
(M._australis_II; M._affinis_I_AS),2.59578,2.49191,13892.1,6.08341,1.33634,4.74707,-0.606265,6652
(M._australis_II; M._iris),2.61244,2.50122,13993.7,10.0395,4.4299,5.60957,-1.12569,6652
(M._australis_II; C._alleni),2.61003,2.50581,14021,1.16979,0.135082,1.0347,-0.92314,6650
(M._australis_II; C._axelrodi_AS),2.28097,2.23167,11368.6,416.861,414.805,2.0565,0.411256,6650
(M._australis_II; C._bleheri),2.6189,2.5158,14110.7,1.43655,0.135744,1.30081,-0.275837,6640
(M._australis_II; C._bulolo),2.59325,2.48209,13800.7,5.51926,4.33872,1.18053,-0.859373,6661
(M._australis_II; C._campsi),2.62356,2.51758,14133.7,3.22166,1.72221,1.49945,-0.137981,6643
(M._australis_II; C._crassispinosa),2.59391,2.48306,13812.2,6.46139,4.13614,2.32525,-1.44723,6661
(M._australis_II; C._fasciata_II),2.62026,2.51515,14121.3,1.85965,0.677313,1.18234,-0.579351,6649
(M._australis_II; C._fasciata_IV),2.62123,2.51631,14114.5,1.28345,0.962708,0.320747,-0.352937,6640
(M._australis_II; C._fasciata_I),2.61238,2.51163,14089.6,0.955781,0.507868,0.447912,-0.155037,6650
(M._australis_II; C._fasciata_III),2.61391,2.50998,14067.6,1.22454,0.704113,0.52043,0.128315,6650
(M._australis_II; C._pricei),2.61497,2.51256,14098.5,1.32936,0.637162,0.692195,0.0696586,6650
(M._australis_II; C._sentaniensis),2.61547,2.50803,14049.3,2.48641,1.71813,0.768281,0.313076,6650
(M._australis_II; C._sp._Sepik),2.62013,2.51511,14115.9,4.5572,2.29594,2.26125,-0.585431,6643
(M._australis_II; C._sp._Gidomen),2.59124,2.4855,13808.6,2.46319,1.24943,1.21376,0.0196278,6654
(M._australis_II; M._praecox),2.55352,2.44993,13425.9,7.96962,5.90118,2.06843,-0.29525,6650
(M._australis_II; M._vanheurni_MT),2.10445,2.09427,10205.6,497.342,492.286,5.0561,1.55878,6672
(M._australis_II; M._vanheurni_S7),0.262909,0.202624,2202.73,4248.5,4244.79,3.71671,0.584296,6653
(M._australis_II; G._dorityi),2.58421,2.4815,13775.8,4.94408,1.6925,3.25159,-1.43931,6649
(M._australis_II; G._sp._Gidomen_S7),0.26584,0.205395,2214.92,4249.07,4244.6,4.46693,0.74298,6649
(M._australis_II; G._incisus),2.59987,2.49509,13925.2,6.17426,1.87273,4.30153,-1.8435,6649
(M._australis_II; G._kabia_I),2.58753,2.48579,13817.7,5.6323,2.21799,3.41431,-1.41863,6649
(M._australis_II; G._kabia_II),2.59184,2.48611,13789.2,6.25282,2.10585,4.14697,-1.7155,6629
(M._australis_II; G._leggetti),2.58121,2.47947,13751.1,6.27208,1.93948,4.33261,-1.92298,6649
(M._australis_II; G._multisquamata),2.57797,2.47646,13720.1,6.92145,1.64539,5.27605,-2.07901,6649
(M._australis_II; G._pseudoincisus),2.59787,2.49322,13902,5.96158,1.87583,4.08575,-1.71875,6647
(M._australis_II; G._wanamensis_AS),2.58958,2.48464,13770.6,5.76641,1.43744,4.32897,-1.427,6629
(M._australis_II; G._kabia_III),2.58853,2.48334,13756.7,6.04899,1.67095,4.37804,-1.46985,6629
(M._australis_II; M._rubripinnis),2.59219,2.49298,13886.1,5.22566,2.64359,2.58208,-1.41753,6649
(M._australis_II; M._japenensis),2.61553,2.51004,14074.3,6.00923,0.749287,5.25994,-1.56249,6653
(M._australis_II; M._ammeri),2.53909,2.43598,13315.6,15.9913,11.3605,4.63073,-1.04584,6647
(M._australis_II; M._angfa_AS),2.53904,2.43871,13348.3,15.1534,10.5985,4.55497,-0.258036,6647
(M._australis_II; M._arfakensis_AS),2.5679,2.4684,13653.6,15.8305,10.6357,5.19482,0.0906725,6647
(M._australis_II; M._batanta),2.55714,2.45493,13510.2,24.9938,17.1957,7.79807,0.0347741,6647
(M._australis_II; M._boesemani_AS),2.56172,2.45828,13550.3,18.5771,15.2419,3.3352,0.825047,6647
(M._australis_II; M._fredericki_II_AS),2.55091,2.44567,13414.9,20.2091,13.6388,6.5703,-0.42675,6647
(M._australis_II; M._salaweti),2.55333,2.44784,13435.5,18.8109,15.2241,3.58677,-0.0507317,6647
(M._australis_II; M._fredericki_I_AS),2.56036,2.45482,13507.8,21.3532,14.5257,6.82749,-0.429576,6647
(M._australis_II; M._irianjaya_AS_MT),2.05569,2.04502,9767.49,492.922,482.92,10.0025,1.39296,6672
