
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S2; S7),2.41533,2.41569,194520,4.308,2.42683,1.88117,-1.25939,100000
(S2; S8),2.2862,2.28603,174199,3.21037,0.323444,2.88693,-1.59479,100000
(S3; S4),2.47915,2.47825,204725,3.25065,2.2209,1.02974,0.964942,100000
(S3; S5),2.10985,2.10981,148381,6.06353,2.5508,3.51272,-1.32259,100000
(S3; S6),2.25516,2.25518,169530,5.14377,2.77475,2.36901,-0.631251,100000
(S3; S7),2.28421,2.28458,173981,3.09516,1.77124,1.32392,-0.457726,100000
(S3; S8),2.16177,2.16164,155759,1.16109,0.22594,0.935146,-0.692034,100000
(S4; S5),2.17513,2.17476,157658,3.52664,1.44792,2.07873,-0.351285,100000
(S4; S6),2.32461,2.32428,180079,3.22418,1.80867,1.41552,-0.620403,100000
(S4; S7),2.35646,2.35648,185103,5.06244,3.97398,1.08846,-0.169912,100000
(S4; S8),2.23121,2.23072,165872,2.81392,1.89057,0.923354,-0.894015,100000
(S5; S6),2.52051,2.52101,211855,5.94562,0.796948,5.14867,0.454943,100000
(S5; S7),2.35745,2.35828,185386,6.19445,1.88884,4.3056,1.31529,100000
(S5; S8),2.23143,2.23171,166023,3.94856,2.28798,1.66058,0.75828,100000
(S6; S7),2.51791,2.51886,211492,3.38967,2.58572,0.803955,0.85958,100000
(S6; S8),2.38385,2.38422,189488,2.41132,2.28286,0.128456,-0.166931,100000
(S7; S8),2.76821,2.76907,255593,6.46512,2.57272,3.8924,-0.442944,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.45707,2.45656,201161,11.4902,3.39742,8.09274,-1.38774,100000
(S1; S3),2.20849,2.20864,162606,6.05669,3.21923,2.83746,-1.12361,100000
(S1; S4),2.27038,2.27092,171906,5.68836,2.09205,3.59631,-1.12353,100000
(S1; S5),2.08623,2.08656,145126,3.66905,0.645134,3.02392,-1.56973,100000
(S1; S6),2.23689,2.23702,166812,7.43473,3.41117,4.02356,-1.46365,100000
(S1; S7),2.26775,2.26782,171438,5.96134,3.74989,2.21145,0.63943,100000
(S1; S8),2.14764,2.14809,153815,4.22134,3.22825,0.993089,0.230068,100000
(S2; S3),2.35851,2.35776,185303,2.9958,2.32637,0.66943,-0.193028,100000
(S2; S4),2.42167,2.4213,195426,6.90288,3.73767,3.16521,1.33934,100000
(S2; S5),2.22698,2.22645,165239,6.54251,1.48829,5.05422,-0.691611,100000
(S2; S6),2.38805,2.38727,189970,5.52019,2.33906,3.18113,0.324559,100000
(S2; S7),2.42047,2.41961,195154,5.18404,2.3574,2.82664,1.37357,100000
(S2; S8),2.29187,2.29145,175033,4.69729,3.79729,0.9,0.66922,100000
(S3; S4),2.48494,2.48524,205883,3.33193,0.814266,2.51767,1.33962,100000
(S3; S5),2.1138,2.11388,148953,2.20703,0.838263,1.36877,0.244032,100000
(S3; S6),2.26368,2.26356,170791,2.65913,0.0823768,2.57675,1.22325,100000
(S3; S7),2.29338,2.29319,175293,4.06182,0.546862,3.51496,1.82737,100000
(S3; S8),2.17286,2.17305,157413,5.49713,1.62597,3.87116,1.74774,100000
(S4; S5),2.16958,2.17003,156969,1.50559,0.45727,1.04832,-0.267025,100000
(S4; S6),2.32399,2.32425,180073,2.03777,0.875909,1.16187,0.738837,100000
(S4; S7),2.35432,2.35452,184794,3.37405,1.69768,1.67638,1.17228,100000
(S4; S8),2.23008,2.23065,165865,4.95118,2.05587,2.89531,1.45397,100000
(S5; S6),2.52117,2.52125,211893,3.15806,1.51638,1.64169,0.604482,100000
(S5; S7),2.35134,2.35135,184297,5.94929,1.35305,4.59624,1.83812,100000
(S5; S8),2.2304,2.23079,165884,3.50421,1.50335,2.00086,1.10201,100000
(S6; S7),2.51953,2.51932,211567,3.93557,0.302619,3.63295,1.6985,100000
(S6; S8),2.38794,2.38813,190110,4.89292,1.48275,3.41017,0.888393,100000
(S7; S8),2.76229,2.76244,254370,3.11573,2.09345,1.02228,-0.628928,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.46041,2.46017,201750,2.00167,1.20794,0.793732,0.0775878,100000
(S1; S3),2.20302,2.20313,161796,5.25514,3.02279,2.23234,0.61674,100000
(S1; S4),2.26955,2.26896,171609,4.48312,1.55328,2.92984,1.30478,100000
(S1; S5),2.08999,2.08977,145575,2.45088,1.3414,1.10948,0.784183,100000
(S1; S6),2.23773,2.23757,166896,8.02451,3.93159,4.09291,1.7511,100000
(S1; S7),2.26301,2.26309,170722,3.71645,1.25206,2.46439,0.884569,100000
(S1; S8),2.14476,2.14491,153360,4.63385,1.18889,3.44496,1.01108,100000
(S2; S3),2.35413,2.35431,184763,5.85958,4.72778,1.1318,-0.23648,100000
(S2; S4),2.42523,2.42469,195973,4.26464,3.19447,1.07016,0.144499,100000
(S2; S5),2.23527,2.2351,166525,2.73154,1.98086,0.750677,0.0468909,100000
(S2; S6),2.39161,2.39151,190646,4.19955,2.96451,1.23504,1.10774,100000
(S2; S7),2.41736,2.41751,194816,7.37946,3.03466,4.34481,0.830385,100000
(S2; S8),2.29423,2.29448,175491,7.62308,2.64454,4.97854,0.549744,100000
(S3; S4),2.48926,2.48904,206514,4.19914,3.95232,0.24682,-0.151221,100000
(S3; S5),2.1116,2.11173,148650,1.97842,0.727754,1.25066,0.257029,100000
(S3; S6),2.26101,2.26123,170444,3.1206,2.40542,0.715179,0.512532,100000
(S3; S7),2.287,2.28747,174421,4.92765,0.762761,4.16489,0.173009,100000
(S3; S8),2.16923,2.16978,156934,2.83239,1.10257,1.72983,0.561138,100000
(S4; S5),2.17527,2.17475,157653,3.66871,0.583722,3.08498,-0.210956,100000
(S4; S6),2.32903,2.32856,180744,5.33154,2.76196,2.56958,0.310522,100000
(S4; S7),2.35363,2.3534,184619,7.89512,2.75614,5.13898,-0.955917,100000
(S4; S8),2.23075,2.23062,165859,6.51799,3.25222,3.26577,-0.341444,100000
(S5; S6),2.5168,2.51667,211123,2.0065,1.77155,0.234951,0.165605,100000
(S5; S7),2.34551,2.34563,183403,2.90761,1.2009,1.70671,-0.336358,100000
(S5; S8),2.22425,2.22445,164942,3.87849,1.7149,2.1636,-0.517876,100000
(S6; S7),2.51623,2.51645,211088,7.97841,5.10461,2.8738,-1.13726,100000
(S6; S8),2.38677,2.38708,189941,7.54794,5.0817,2.46623,-0.68114,100000
(S7; S8),2.76992,2.77056,255869,0.614285,0.368143,0.246142,0.236879,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44847,2.44864,199867,4.49984,0.87253,3.62731,-0.833787,100000
(S1; S3),2.19168,2.19128,160061,4.51872,2.62564,1.89308,-1.1731,100000
(S1; S4),2.25103,2.25075,168864,1.2448,0.397023,0.847778,0.149043,100000
(S1; S5),2.08438,2.08414,144791,3.20694,0.491708,2.71524,-0.662863,100000
(S1; S6),2.22884,2.22853,165548,3.25118,0.804338,2.44684,-0.760488,100000
(S1; S7),2.26143,2.26118,170433,3.06019,1.86608,1.19411,-0.867417,100000
(S1; S8),2.14206,2.14203,152945,1.80609,0.627933,1.17815,0.184594,100000
(S2; S3),2.34361,2.34383,183122,4.59576,4.11939,0.476374,0.484679,100000
(S2; S4),2.40697,2.40733,193176,6.60583,0.844783,5.76105,1.66024,100000
(S2; S5),2.22513,2.2255,165096,2.70579,1.11826,1.58753,0.692556,100000
(S2; S6),2.38119,2.38152,189059,4.38026,1.73118,2.64908,1.10339,100000
(S2; S7),2.41527,2.41567,194518,5.60154,3.41527,2.18627,0.679557,100000
(S2; S8),2.28758,2.28819,174529,4.45363,0.862244,3.59139,1.24146,100000
(S3; S4),2.47837,2.4781,204701,2.64378,2.03752,0.606267,0.720512,100000
(S3; S5),2.10375,2.10355,147502,3.42996,3.33917,0.0907861,0.278694,100000
(S3; S6),2.25079,2.25052,168829,1.1073,0.841017,0.266281,0.0327717,100000
(S3; S7),2.28111,2.2809,173419,3.29575,2.89246,0.403298,0.112685,100000
(S3; S8),2.1608,2.16081,155639,2.59292,1.9248,0.668119,0.790633,100000
(S4; S5),2.1618,2.16172,155769,1.61525,1.30959,0.305658,0.246888,100000
(S4; S6),2.31327,2.31312,178352,1.40463,0.485491,0.919138,-0.180817,100000
(S4; S7),2.34388,2.3438,183115,4.53522,2.49627,2.03894,-0.494644,100000
(S4; S8),2.21888,2.21902,164135,0.907514,0.72812,0.179394,0.30894,100000
(S5; S6),2.51148,2.51136,210232,2.49162,1.79243,0.699194,0.0558666,100000
(S5; S7),2.34978,2.34974,184045,2.50861,0.908149,1.60046,-0.87386,100000
(S5; S8),2.2257,2.22588,165153,1.17689,0.426783,0.750107,-0.699762,100000
(S6; S7),2.51388,2.51376,210635,2.76448,1.34423,1.42025,-0.261323,100000
(S6; S8),2.37924,2.37937,188714,1.39691,0.430449,0.966464,0.578507,100000
(S7; S8),2.76548,2.76571,254972,3.25698,1.7936,1.46338,0.724863,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44894,2.44935,199979,4.64866,3.52895,1.11971,-0.979987,100000
(S1; S3),2.20108,2.20149,161553,1.31239,1.12795,0.184437,-0.15558,100000
(S1; S4),2.26385,2.26445,170929,12.1596,4.40846,7.75111,-1.67312,100000
(S1; S5),2.08865,2.08882,145445,8.85047,6.43718,2.4133,-0.972633,100000
(S1; S6),2.22711,2.22733,165373,11.1287,8.7106,2.41813,-0.228236,100000
(S1; S7),2.25917,2.25903,170111,4.60584,3.59682,1.00902,-0.113306,100000
(S1; S8),2.13963,2.13946,152580,6.97125,2.20045,4.7708,-1.49884,100000
(S2; S3),2.35635,2.35667,185131,3.05841,0.736437,2.32198,0.218553,100000
(S2; S4),2.42101,2.42153,195464,13.2963,1.50809,11.7882,-1.83407,100000
(S2; S5),2.23423,2.2343,166409,7.06334,3.69571,3.36763,-0.974898,100000
(S2; S6),2.38064,2.38075,188936,10.1041,6.29943,3.80462,-0.536796,100000
(S2; S7),2.41615,2.41586,194551,4.90016,2.12198,2.77818,-0.74341,100000
(S2; S8),2.28647,2.28616,174222,7.43444,2.74498,4.68946,-1.6146,100000
(S3; S4),2.49165,2.49224,207045,12.884,4.38034,8.50365,-2.343,100000
(S3; S5),2.11823,2.11835,149587,6.17896,5.7688,0.41016,-0.000663891,100000
(S3; S6),2.25948,2.25964,170206,8.82112,8.62791,0.193204,-0.202043,100000
(S3; S7),2.29851,2.29829,176073,3.42286,2.9016,0.521255,0.384241,100000
(S3; S8),2.17405,2.1738,157516,3.5742,2.58789,0.986305,-0.446929,100000
(S4; S5),2.17969,2.17997,158416,2.82163,1.36004,1.46159,0.165291,100000
(S4; S6),2.32661,2.32695,180493,4.40257,2.42353,1.97905,0.76874,100000
(S4; S7),2.36177,2.36173,185930,11.9354,2.94819,8.98721,1.43273,100000
(S4; S8),2.23554,2.23546,166582,10.2184,3.87415,6.34429,0.608755,100000
(S5; S6),2.52047,2.52037,211748,1.42171,0.229886,1.19182,1.01403,100000
(S5; S7),2.36236,2.36187,185957,4.52,2.76835,1.75165,0.923912,100000
(S5; S8),2.23626,2.23576,166629,5.31079,3.92627,1.38452,-0.209278,100000
(S6; S7),2.51652,2.51605,211023,13.2519,5.22674,8.02513,1.1451,100000
(S6; S8),2.38209,2.3816,189072,10.5905,6.05013,4.54037,-0.0204534,100000
(S7; S8),2.76539,2.76437,254726,2.54925,1.28975,1.2595,-1.0291,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44964,2.44879,199888,3.53883,1.68851,1.85032,0.366514,100000
(S1; S3),2.20184,2.20111,161500,4.55005,4.17256,0.377494,0.095401,100000
(S1; S4),2.25902,2.25912,170125,5.57498,4.96206,0.612922,-0.159378,100000
(S1; S5),2.079,2.07862,144030,14.3474,6.34708,8.0003,1.07256,100000
(S1; S6),2.22684,2.22653,165254,11.4524,7.62934,3.82302,1.31704,100000
(S1; S7),2.26298,2.26234,170608,3.07758,1.61511,1.46247,0.448795,100000
(S1; S8),2.14162,2.14087,152780,3.71732,0.869402,2.84792,0.995146,100000
(S2; S3),2.35183,2.35148,184319,5.05106,2.73272,2.31834,0.625258,100000
(S2; S4),2.41554,2.41609,194585,3.98858,2.93908,1.0495,-0.0976278,100000
(S2; S5),2.22181,2.22182,164556,12.9259,5.96714,6.95879,1.32211,100000
(S2; S6),2.38249,2.3826,189232,15.3722,11.8289,3.5434,0.790553,100000
(S2; S7),2.41827,2.41803,194897,6.36528,1.26294,5.10235,0.425216,100000
(S2; S8),2.29175,2.29137,175016,7.30096,0.218736,7.08222,1.07649,100000
(S3; S4),2.49197,2.49258,207103,8.1307,6.41194,1.71876,-0.212785,100000
(S3; S5),2.11039,2.11042,148467,5.32459,1.40278,3.92181,0.247991,100000
(S3; S6),2.26368,2.26381,170835,11.8562,8.74195,3.11428,0.346566,100000
(S3; S7),2.30032,2.30011,176354,2.60003,1.51803,1.082,0.317535,100000
(S3; S8),2.18001,2.17967,158368,1.95069,1.47915,0.471541,0.659901,100000
(S4; S5),2.16568,2.16653,156468,9.10099,5.21146,3.88953,0.136692,100000
(S4; S6),2.32226,2.32328,179927,11.0782,8.19976,2.87839,0.458221,100000
(S4; S7),2.36192,2.36262,186067,5.09123,2.35907,2.73217,1.26722,100000
(S4; S8),2.23985,2.24036,167311,6.43093,2.27737,4.15355,1.89408,100000
(S5; S6),2.5106,2.51113,210196,9.20204,7.27867,1.92337,0.099943,100000
(S5; S7),2.34763,2.34777,183738,11.0963,3.11142,7.98486,-0.10191,100000
(S5; S8),2.22393,2.22391,164866,16.9948,4.22799,12.7668,0.833316,100000
(S6; S7),2.51658,2.51684,211154,9.24988,7.55446,1.69541,0.229548,100000
(S6; S8),2.38592,2.38601,189774,15.5492,9.10153,6.44771,0.589156,100000
(S7; S8),2.77063,2.77033,255826,4.64125,1.04411,3.59714,0.317885,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.45125,2.45069,200197,1.63292,0.293382,1.33953,-0.298464,100000
(S1; S3),2.20322,2.20311,161792,1.88858,0.988443,0.90014,0.378912,100000
(S1; S4),2.25987,2.26003,170260,2.95084,2.27056,0.68028,0.137525,100000
(S1; S5),2.08361,2.08287,144612,1.47111,0.26878,1.20233,-0.135594,100000
(S1; S6),2.22587,2.22598,165169,3.5376,2.6107,0.926909,0.316019,100000
(S1; S7),2.25296,2.25231,169099,4.34222,1.10912,3.2331,0.742267,100000
(S1; S8),2.13546,2.13536,151995,4.62736,1.08614,3.54122,1.16577,100000
(S2; S3),2.3619,2.36192,185956,3.09724,0.776495,2.32074,1.32676,100000
(S2; S4),2.41641,2.41671,194684,3.32365,2.04303,1.28062,0.731775,100000
(S2; S5),2.23362,2.23295,166204,2.6503,0.48683,2.16347,0.536005,100000
(S2; S6),2.38587,2.38613,189789,5.94149,3.18953,2.75196,0.600258,100000
(S2; S7),2.41416,2.4136,194184,3.061,1.21223,1.84877,0.626716,100000
(S2; S8),2.28774,2.28776,174464,2.85797,1.15889,1.69908,1.25656,100000
(S3; S4),2.48356,2.48432,205729,2.44225,0.329744,2.11251,-0.747206,100000
(S3; S5),2.11728,2.11702,149395,4.4603,1.83079,2.62952,-0.2638,100000
(S3; S6),2.25969,2.26034,170307,2.82122,0.798646,2.02258,-0.0866234,100000
(S3; S7),2.29287,2.29274,175225,2.53756,1.23013,1.30742,-0.890698,100000
(S3; S8),2.17223,2.17264,157350,0.605243,0.134193,0.471049,-0.560294,100000
(S4; S5),2.16564,2.16563,156335,3.40352,3.31968,0.0838413,0.16869,100000
(S4; S6),2.3147,2.31563,178740,1.35846,0.695658,0.662806,0.0709357,100000
(S4; S7),2.34789,2.34804,183779,2.8436,2.34722,0.496381,-0.128249,100000
(S4; S8),2.2232,2.22388,164859,0.679019,0.353499,0.325519,0.0429176,100000
(S5; S6),2.51996,2.51991,211668,8.2135,7.3215,0.892004,0.558206,100000
(S5; S7),2.3519,2.35105,184250,3.91418,2.42905,1.48513,0.397839,100000
(S5; S8),2.22944,2.22918,165646,3.14794,2.6085,0.539444,0.410228,100000
(S6; S7),2.50901,2.50912,209859,5.53792,3.38621,2.15171,0.322652,100000
(S6; S8),2.37987,2.38055,188902,2.52406,0.381489,2.14257,0.679448,100000
(S7; S8),2.76782,2.76767,255335,4.75909,3.71967,1.03943,0.652907,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.42283,2.42348,195778,6.28183,2.02731,4.25453,1.11431,100000
(S1; S3),2.15926,2.1592,155408,7.59076,1.65893,5.93183,1.00362,100000
(S1; S4),2.22827,2.22742,165385,10.1086,3.72585,6.38275,-0.399049,100000
(S1; S5),2.04347,2.04465,139358,5.28928,2.41687,2.87241,1.47898,100000
(S1; S6),2.19217,2.19369,160411,1.81194,0.389742,1.4222,1.05376,100000
(S1; S7),2.23114,2.23295,166204,1.90318,0.0197604,1.88342,1.26711,100000
(S1; S8),2.10768,2.1085,148196,8.19356,0.71095,7.48261,2.07487,100000
(S2; S3),2.32016,2.31892,179250,6.68927,0.790066,5.89921,0.482758,100000
(S2; S4),2.39507,2.39295,190880,17.771,2.95435,14.8166,-1.10918,100000
(S2; S5),2.20091,2.20107,161496,6.67257,2.19416,4.47841,0.527583,100000
(S2; S6),2.35952,2.35996,185651,3.7186,2.68006,1.03854,-0.140291,100000
(S2; S7),2.40063,2.40136,192222,3.58507,2.37052,1.21455,0.326184,100000
(S2; S8),2.26745,2.26719,171342,4.36696,2.21286,2.1541,1.15953,100000
(S3; S4),2.46068,2.45779,201361,7.05303,3.99171,3.06132,-1.5834,100000
(S3; S5),2.0685,2.06804,142565,9.6154,3.98913,5.62627,0.301715,100000
(S3; S6),2.2195,2.21926,164173,3.65887,1.54743,2.11144,-0.184002,100000
(S3; S7),2.25757,2.25759,169895,6.3926,2.15115,4.24146,0.9853,100000
(S3; S8),2.13287,2.13199,151516,7.67249,0.867311,6.80518,1.18214,100000
(S4; S5),2.13625,2.13502,151949,5.96581,1.98664,3.97916,1.43536,100000
(S4; S6),2.29008,2.28901,174658,9.19616,5.59443,3.60173,1.30814,100000
(S4; S7),2.33077,2.32995,180963,13.4009,4.595,8.8059,1.80755,100000
(S4; S8),2.20132,2.19962,161285,18.0966,4.28348,13.8132,2.56351,100000
(S5; S6),2.48812,2.48935,206566,11.1386,8.31086,2.82777,-0.10371,100000
(S5; S7),2.3254,2.32682,180474,5.54646,3.76563,1.78083,0.775705,100000
(S5; S8),2.1993,2.19972,161299,10.7274,5.7594,4.96803,1.57578,100000
(S6; S7),2.49932,2.50113,208524,0.808759,0.570276,0.238483,0.443858,100000
(S6; S8),2.36119,2.36191,185956,2.28092,0.225374,2.05555,0.708623,100000
(S7; S8),2.75589,2.75704,253378,11.7248,2.62759,9.09716,0.58778,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.42626,2.42677,196309,2.79049,1.01362,1.77686,-0.763326,100000
(S1; S3),2.16628,2.16577,156354,4.28657,0.64887,3.6377,1.0015,100000
(S1; S4),2.22564,2.22659,165262,5.5238,3.00986,2.51394,0.0642374,100000
(S1; S5),2.04759,2.04666,139629,1.75996,0.648034,1.11193,0.656663,100000
(S1; S6),2.1983,2.19706,160907,3.70441,2.25068,1.45372,-0.708723,100000
(S1; S7),2.22273,2.22355,164809,6.74951,1.45752,5.29198,-1.35623,100000
(S1; S8),2.10175,2.10186,147266,8.69382,1.56867,7.12515,-2.04809,100000
(S2; S3),2.32329,2.32338,179942,5.60873,1.40977,4.19896,1.89797,100000
(S2; S4),2.38758,2.38927,190292,9.209,5.13407,4.07493,0.7762,100000
(S2; S5),2.19528,2.19488,160587,5.26663,2.95509,2.31154,0.89362,100000
(S2; S6),2.35509,2.35441,184779,7.00898,5.75423,1.25474,-0.860805,100000
(S2; S7),2.38497,2.3865,189848,3.58614,1.84919,1.73695,-0.218497,100000
(S2; S8),2.25544,2.25618,169683,6.45797,4.08013,2.37784,-0.81378,100000
(S3; S4),2.45967,2.46031,201780,10.7066,9.57851,1.12804,-0.610617,100000
(S3; S5),2.07157,2.07028,142872,3.14388,1.51015,1.63372,-0.577002,100000
(S3; S6),2.22306,2.22145,164499,10.065,4.84451,5.22048,-1.51855,100000
(S3; S7),2.25592,2.25637,169714,9.46316,4.09921,5.36395,-1.89525,100000
(S3; S8),2.1328,2.13256,151601,11.4372,4.11451,7.32264,-2.49998,100000
(S4; S5),2.12793,2.128,150951,3.35496,3.09503,0.259932,0.325305,100000
(S4; S6),2.28421,2.28405,173900,5.85262,2.30787,3.54475,-1.03378,100000
(S4; S7),2.31714,2.31915,179286,3.63349,0.838344,2.79515,-1.21922,100000
(S4; S8),2.19199,2.19318,160338,4.85076,0.673094,4.17766,-1.76455,100000
(S5; S6),2.50058,2.49819,208034,3.36822,1.65403,1.71419,-0.91335,100000
(S5; S7),2.32868,2.32862,180752,4.43084,3.37971,1.05113,-0.83976,100000
(S5; S8),2.2022,2.20145,161548,4.32247,1.24811,3.07437,-1.71837,100000
(S6; S7),2.49781,2.49748,207916,4.24434,3.9442,0.300142,0.353524,100000
(S6; S8),2.3643,2.36324,186166,2.43405,1.02556,1.40848,-0.979066,100000
(S7; S8),2.75314,2.75447,252905,8.36084,4.51414,3.84669,-1.92739,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.45632,2.45588,201050,6.40252,0.289666,6.11286,2.09587,100000
(S1; S3),2.1998,2.19943,161254,5.01858,1.10241,3.91617,1.57931,100000
(S1; S4),2.26427,2.26375,170821,3.30135,2.47756,0.82379,0.415765,100000
(S1; S5),2.08167,2.08155,144435,3.57149,2.23106,1.34044,0.656793,100000
(S1; S6),2.23266,2.23264,166158,5.36131,2.38557,2.97574,1.03501,100000
(S1; S7),2.26056,2.26041,170317,3.60345,1.92487,1.67858,1.08797,100000
(S1; S8),2.14328,2.14334,153134,5.66921,3.04658,2.62264,0.699438,100000
(S2; S3),2.3557,2.35544,184937,0.771545,0.621861,0.149685,0.0134391,100000
(S2; S4),2.42016,2.41973,195171,2.90103,1.7808,1.12022,-0.479962,100000
(S2; S5),2.22692,2.22691,165310,2.94408,1.3968,1.54728,-0.148247,100000
(S2; S6),2.38895,2.38905,190254,2.457,1.63286,0.82414,0.00438649,100000
(S2; S7),2.41824,2.4182,194926,1.74834,1.11357,0.634773,0.211043,100000
(S2; S8),2.28836,2.28854,174584,3.15753,2.13531,1.02222,0.58557,100000
(S3; S4),2.48941,2.48899,206504,2.45362,0.842978,1.61064,-0.22142,100000
(S3; S5),2.10665,2.10666,147937,2.61724,0.51653,2.10071,0.584608,100000
(S3; S6),2.25808,2.25819,169982,0.895154,0.454134,0.44102,-0.290773,100000
(S3; S7),2.28924,2.28922,174688,2.22465,0.936502,1.28814,-0.586225,100000
(S3; S8),2.16802,2.16821,156708,3.11652,1.66962,1.44691,-0.287881,100000
(S4; S5),2.16936,2.16922,156853,4.45902,0.431486,4.02754,0.457651,100000
(S4; S6),2.3234,2.32337,179937,2.56443,1.12396,1.44047,0.235701,100000
(S4; S7),2.35492,2.35475,184828,0.93232,0.88661,0.0457103,0.181671,100000
(S4; S8),2.23063,2.23068,165866,2.01994,1.41522,0.604718,0.588506,100000
(S5; S6),2.52228,2.52268,212133,3.13613,0.369217,2.76691,-0.336887,100000
(S5; S7),2.35385,2.35409,184732,2.67505,0.422033,2.25302,-0.727303,100000
(S5; S8),2.22903,2.22948,165695,3.01118,0.549968,2.46121,-0.231763,100000
(S6; S7),2.52404,2.52441,212423,2.03495,1.22411,0.810844,0.0352402,100000
(S6; S8),2.38827,2.38885,190223,1.79528,1.36392,0.43136,0.555213,100000
(S7; S8),2.76658,2.76709,255226,4.92142,0.869855,4.05156,1.06659,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.45263,2.45208,200426,9.17248,1.38825,7.78423,2.41106,100000
(S1; S3),2.19771,2.19807,161054,10.0208,2.88946,7.13135,1.33526,100000
(S1; S4),2.26391,2.26452,170938,5.68213,3.03984,2.64228,-0.247983,100000
(S1; S5),2.07971,2.07915,144099,5.84336,0.617667,5.22569,1.79983,100000
(S1; S6),2.22548,2.22516,165049,8.69612,0.614708,8.08141,1.38688,100000
(S1; S7),2.25637,2.25582,169627,10.2656,0.381332,9.88428,2.65247,100000
(S1; S8),2.13949,2.13928,152555,7.46072,0.164416,7.2963,1.79407,100000
(S2; S3),2.35388,2.35417,184740,8.1149,3.82442,4.29048,-0.42368,100000
(S2; S4),2.42328,2.42383,195835,11.3464,5.39756,5.94879,-2.27981,100000
(S2; S5),2.22762,2.22693,165309,2.05746,0.749888,1.30757,0.249657,100000
(S2; S6),2.38421,2.38377,189415,2.68603,0.160303,2.52573,0.513892,100000
(S2; S7),2.41696,2.41628,194617,8.79832,2.62011,6.17821,2.07704,100000
(S2; S8),2.2922,2.29188,175094,5.81232,1.28937,4.52295,1.75546,100000
(S3; S4),2.48177,2.48329,205561,6.43785,3.57697,2.86087,-1.36743,100000
(S3; S5),2.10393,2.10409,147579,10.5448,4.6203,5.9245,0.961722,100000
(S3; S6),2.25183,2.25228,169096,6.81862,2.50796,4.31065,1.39359,100000
(S3; S7),2.28222,2.28245,173655,6.53368,3.70411,2.82956,1.63899,100000
(S3; S8),2.16444,2.16498,156243,5.05732,2.75,2.30732,1.46436,100000
(S4; S5),2.16631,2.1667,156490,9.35434,3.67553,5.67881,1.75264,100000
(S4; S6),2.31773,2.31843,179174,11.705,3.16634,8.53865,2.59158,100000
(S4; S7),2.34801,2.34849,183853,20.262,5.29619,14.9659,3.78836,100000
(S4; S8),2.22631,2.22709,165338,13.2046,1.79613,11.4084,3.23933,100000
(S5; S6),2.50624,2.50566,209280,1.57769,1.09461,0.483076,0.354409,100000
(S5; S7),2.34715,2.34638,183519,4.1105,2.1942,1.9163,0.896356,100000
(S5; S8),2.22455,2.22414,164895,2.42015,0.69546,1.72469,1.2684,100000
(S6; S7),2.51378,2.51327,210553,7.03126,2.5681,4.46317,0.882796,100000
(S6; S8),2.38213,2.38199,189131,3.5161,0.795327,2.72077,1.35839,100000
(S7; S8),2.76924,2.7688,255544,3.947,3.22411,0.722892,-0.249295,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44595,2.44623,199475,17.4608,8.10017,9.36061,-2.79107,100000
(S1; S3),2.19529,2.19508,160614,3.73536,2.41389,1.32147,-0.438289,100000
(S1; S4),2.25422,2.25406,169363,10.3514,4.01882,6.33259,-2.50739,100000
(S1; S5),2.07765,2.0775,143876,10.2958,6.78619,3.50964,-1.03347,100000
