
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S2; S8),2.27414,2.27391,172358,5.63322,1.26638,4.36685,1.0182,100000
(S3; S4),2.48354,2.48471,205796,7.5683,4.00585,3.56245,-1.00668,100000
(S3; S5),2.10425,2.10591,147831,5.36328,1.16443,4.19886,1.05147,100000
(S3; S6),2.25316,2.2546,169444,4.24608,1.09067,3.15542,-1.45415,100000
(S3; S7),2.27865,2.27975,173247,3.51034,2.10323,1.40711,-0.674689,100000
(S3; S8),2.14987,2.1513,154273,6.21313,1.85968,4.35344,-0.767634,100000
(S4; S5),2.16842,2.16881,156795,5.41604,1.66808,3.74796,0.830719,100000
(S4; S6),2.31893,2.31901,179263,4.85967,0.977284,3.88239,-1.00122,100000
(S4; S7),2.34825,2.34797,183768,4.65063,2.8605,1.79013,0.420364,100000
(S4; S8),2.21477,2.2149,163528,2.49153,1.6937,0.797828,0.19872,100000
(S5; S6),2.5111,2.51198,210338,7.80819,0.642606,7.16559,-1.5283,100000
(S5; S7),2.34507,2.34553,183387,3.01193,1.37416,1.63777,-1.046,100000
(S5; S8),2.21656,2.21739,163896,2.07282,0.0898724,1.98294,-1.03514,100000
(S6; S7),2.50823,2.50835,209729,2.91286,0.940103,1.97276,1.19305,100000
(S6; S8),2.36999,2.37052,187315,5.79962,0.604689,5.19493,1.51468,100000
(S7; S8),2.75956,2.75975,253876,8.4533,3.63322,4.82007,-0.0859947,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44512,2.44575,199392,2.70457,1.0669,1.63767,-0.85775,100000
(S1; S3),2.19253,2.19312,160330,3.25512,0.423572,2.83155,-0.683607,100000
(S1; S4),2.25736,2.25749,169881,10.0924,4.30904,5.7834,-2.09865,100000
(S1; S5),2.0783,2.07808,143953,10.8428,2.08216,8.76066,-2.57959,100000
(S1; S6),2.22634,2.22594,165162,5.18079,3.09053,2.09026,-1.37166,100000
(S1; S7),2.24896,2.24972,168710,2.48023,0.946836,1.5334,-0.574279,100000
(S1; S8),2.12936,2.12964,151181,1.32857,0.567791,0.760783,-0.608651,100000
(S2; S3),2.34426,2.3449,183286,1.19482,1.09288,0.101942,-0.183292,100000
(S2; S4),2.41512,2.41527,194453,3.32971,2.23778,1.09193,-0.922012,100000
(S2; S5),2.22677,2.22654,165253,2.78615,1.0264,1.75975,-0.986852,100000
(S2; S6),2.3832,2.38277,189256,2.24644,1.89862,0.347815,-0.484208,100000
(S2; S7),2.40715,2.40797,193281,1.34649,0.1112,1.23529,0.583503,100000
(S2; S8),2.28166,2.28196,173583,2.7127,0.300778,2.41193,-0.240797,100000
(S3; S4),2.47602,2.4762,204388,5.34959,4.6759,0.673697,0.549371,100000
(S3; S5),2.10534,2.10515,147725,2.46658,2.19299,0.273598,-0.0605162,100000
(S3; S6),2.25455,2.25417,169378,4.76245,3.54374,1.21871,0.978013,100000
(S3; S7),2.27735,2.27816,173005,2.53843,0.862921,1.67551,0.520815,100000
(S3; S8),2.15939,2.1597,155483,2.17432,0.413469,1.76086,-0.155658,100000
(S4; S5),2.1715,2.17086,157091,2.71006,0.85348,1.85658,0.597985,100000
(S4; S6),2.32255,2.32168,179676,3.37831,1.5699,1.80841,1.12171,100000
(S4; S7),2.34605,2.34639,183521,3.88378,1.95776,1.92602,0.755891,100000
(S4; S8),2.22591,2.22577,165139,2.87348,1.61289,1.26059,0.204589,100000
(S5; S6),2.51829,2.51694,211168,3.14587,0.143278,3.00259,0.75961,100000
(S5; S7),2.35223,2.35219,184431,8.41201,1.76567,6.64635,1.04985,100000
(S5; S8),2.22963,2.22912,165637,7.66991,0.86737,6.80254,1.4118,100000
(S6; S7),2.51364,2.51339,210575,5.38088,3.39103,1.98985,-0.507946,100000
(S6; S8),2.38316,2.38243,189202,5.2565,1.76734,3.48916,0.20971,100000
(S7; S8),2.76212,2.76271,254419,1.84821,1.24898,0.599229,0.692977,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44152,2.44216,198811,15.0696,6.94792,8.12172,-1.96781,100000
(S1; S3),2.18327,2.18435,159051,10.6663,5.31172,5.35461,-0.915741,100000
(S1; S4),2.24106,2.24244,167621,7.44768,2.7363,4.71138,-1.44921,100000
(S1; S5),2.0689,2.06886,142679,13.1933,5.75239,7.44088,-2.49772,100000
(S1; S6),2.21476,2.21546,163612,8.34904,2.94459,5.40444,-1.82751,100000
(S1; S7),2.24342,2.24504,168011,9.77419,7.00941,2.76479,-1.49724,100000
(S1; S8),2.12119,2.12231,150145,7.54101,5.10066,2.44035,-0.392521,100000
(S2; S3),2.33959,2.33907,182379,12.5451,1.90582,10.6393,2.14215,100000
(S2; S4),2.4093,2.40907,193458,3.49654,0.773909,2.72263,-0.19975,100000
(S2; S5),2.21873,2.21712,163859,5.03951,0.780003,4.25951,-0.269574,100000
(S2; S6),2.37706,2.37611,188203,5.64607,0.590987,5.05509,0.424531,100000
(S2; S7),2.40674,2.40678,193090,6.78491,2.89462,3.89029,0.0052792,100000
(S2; S8),2.27566,2.27525,172561,1.86495,0.853163,1.01179,0.766585,100000
(S3; S4),2.47086,2.47119,203563,7.33689,2.45484,4.88205,-0.380585,100000
(S3; S5),2.09299,2.09194,145878,9.11447,3.84493,5.26954,-2.15001,100000
(S3; S6),2.24384,2.24346,167775,8.10447,2.69743,5.40704,-2.02499,100000
(S3; S7),2.271,2.27155,172005,15.947,5.18815,10.7589,-2.4972,100000
(S3; S8),2.14846,2.14855,153880,7.6228,2.77731,4.84548,-1.4373,100000
(S4; S5),2.15267,2.15186,154354,7.22416,1.89868,5.32548,-1.84474,100000
(S4; S6),2.30781,2.3077,177520,3.42268,0.671521,2.75116,-1.04496,100000
(S4; S7),2.33618,2.33704,182060,3.72544,1.91308,1.81237,-1.13607,100000
(S4; S8),2.20853,2.2089,162645,0.886147,0.726424,0.159723,-0.276049,100000
(S5; S6),2.50562,2.50392,208989,4.29618,1.36758,2.9286,1.59575,100000
(S5; S7),2.3355,2.33489,181727,5.31953,3.79191,1.52762,1.20347,100000
(S5; S8),2.20572,2.20469,162027,6.31565,1.67063,4.64502,1.88207,100000
(S6; S7),2.50311,2.50328,208883,5.03704,4.74153,0.295504,0.417789,100000
(S6; S8),2.36867,2.36835,186976,4.48246,1.8825,2.59996,0.750912,100000
(S7; S8),2.75711,2.75788,253532,9.31884,1.16381,8.15503,1.72428,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44569,2.44524,199309,5.79432,2.3113,3.48302,0.218304,100000
(S1; S3),2.19387,2.19352,160388,5.69642,0.610223,5.0862,1.61348,100000
(S1; S4),2.25281,2.25263,169149,2.87819,0.447853,2.43033,0.0762568,100000
(S1; S5),2.0796,2.07932,144123,6.79263,1.66919,5.12343,-1.00064,100000
(S1; S6),2.22671,2.22596,165167,3.4204,0.251056,3.16935,0.358384,100000
(S1; S7),2.25767,2.2577,169911,5.79659,1.09544,4.70115,0.670627,100000
(S1; S8),2.13819,2.13815,152392,5.95415,0.467277,5.48687,1.40947,100000
(S2; S3),2.35225,2.35215,184421,2.88933,0.522455,2.36688,1.42426,100000
(S2; S4),2.41932,2.41941,195121,3.50252,2.27542,1.22709,-0.278041,100000
